Variable ,Code
App development,IF_Var1
Integrated Data management Information Systems development,IF_Var2
Dashboard/Data Visualization i.e Cluvio.,IF_Var3
"Electronic Questionnaire development i.e ODK, Enketo and CommCare.",IF_Var4
Web Application (full stack) development.,IF_Var5
Cloud computing/Database design and administration,IF_Var6
Node.js/React server-side development,IF_Var7
Android application development,IF_Var8
System analysis and design.,IF_Var9
Linux server administration,IF_Var10
Telecom value added services.,IF_Var11
Research and report writing,IF_Var12
Systems modelling and simulation,IF_Var13
