Variable,Code
Designing study data collection tools using Open Data Kit (ODK),Qq_var1
Designing data collection tools using google forms,Qq_var2
Designing data collection tools using survey monkeys,Qq_var3
Quantitative data analysis using advanced Excel,Qq_var4
Quantitative data analysis using SPSS,Qq_var5
Quantitative data analysis using STATA,Qq_var6
Quantitative data analysis using R,Qq_var7
Using CSPro,Qq_var8
Design and entry using Epi data,Qq_var9
Using Commcare,Qq_var10
Qualitative data analysis using content analysis,Qq_var11
Qualitative data analysis using NVIVO,Qq_var12
Qualitative data analysis using ATLAS Ti,Qq_var13
Data Visualisation using Tableau,Qq_var14
Data visualisation using PowerBI,Qq_var15
Data Visualisation using Cluvio,Qq_var16
Data management,Qq_var17
Data Quality Assurance (DQA) / Data cleaning,Qq_var18
