Variable ,Code
Mobile App enabled survey designing,D_Var1
Conducting quantitative interviews,D_Var2
Conducting qualitative interviews,D_Var3
Skills in Trouble shooting mobile Applications while collecting data,D_Var4
Planning and conducting quality assurance checks,D_Var5
Undertaking a training for data collectors,D_Var6
Communication skills and Interpersonal relationship while collecting data,D_Var7
Presentation skills for the reports generated from the data collected and facilitate their utilisation by program staff,D_Var8
Rapport building with interviewee,D_Var9
Forms of bias while undertaking data collection and their effect on the results,D_Var10
