Variable,Code
Writing abstracts from studies and program routine data,L_Var1
Writing manuscripts,L_Var2
Documentation and analysis of success stories,L_Var3
Documentation and using Most Significant Change (MSC) story techniques in tracking impact,L_Var4
Collection of Documentaries of Most Significant Change stories (MSCs),L_Var5
Compiling Analytical briefs,L_Var6
Compiling Technical briefs,L_Var7
Compiling Impact briefs,L_Var8
Documentation of lessons learnt and best practices,L_Var9
Developing PowerPoint slides,L_Var10
Developing Piktochart,L_Var11
Presentation skills,L_Var12
Public speaking skills,L_Var13
Reporting,L_Var14
